source,target
head,12-12-01-610-801.12-12-01-860-001
head,32-45-07-700-801.32-45-07-860-008
head,35-11-00-710-802.35-11-00-910-002
12-12-01-610-801.12-12-01-860-001,12-12-01-610-801.12-12-01-860-002
12-12-01-610-801.12-12-01-860-001,24-22-00-860-805.24-22-00-860-009
12-12-01-610-801.12-12-01-860-002,12-12-01-610-801.12-12-01-860-003
12-12-01-610-801.12-12-01-860-003,12-12-01-610-801.12-12-01-860-003.a
12-12-01-610-801.12-12-01-860-003.a,78-31-00-860-818-H00.78-31-00-860-006-H01
78-31-00-860-818-H00.78-31-00-860-006-H01,78-31-00-860-818-H00.78-31-00-860-006-H01.a
78-31-00-860-818-H00.78-31-00-860-006-H01.a,78-31-00-860-818-H00.78-31-00-860-006-H01.b
78-31-00-860-818-H00.78-31-00-860-006-H01.a,78-31-00-981-802-H01.78-31-00-863-002-H01
78-31-00-860-818-H00.78-31-00-860-006-H01.b,12-12-01-610-801.12-12-01-860-004
78-31-00-860-818-H00.78-31-00-860-006-H01.b,12-12-01-610-803.12-12-01-860-028
78-31-00-860-818-H00.78-31-00-860-006-H01.b,78-31-00-980-802-H01.78-31-00-860-022-H01
12-12-01-610-801.12-12-01-860-004,12-12-01-610-801.12-12-01-860-004.a
12-12-01-610-801.12-12-01-860-004.a,12-15-09-610-801.12-15-09-860-001
12-15-09-610-801.12-15-09-860-001,12-15-09-610-801.12-15-09-480-001
12-15-09-610-801.12-15-09-480-001,12-15-09-610-801.12-15-09-010-001
12-15-09-610-801.12-15-09-010-001,12-15-09-610-801.12-15-09-860-002
12-15-09-610-801.12-15-09-860-002,12-15-09-610-801.12-15-09-480-002
12-15-09-610-801.12-15-09-480-002,12-15-09-610-801.12-15-09-860-003
12-15-09-610-801.12-15-09-860-003,12-15-09-610-801.12-15-09-860-004
12-15-09-610-801.12-15-09-860-004,12-15-09-610-801.12-15-09-010-002
12-15-09-610-801.12-15-09-010-002,12-15-09-610-801.12-15-09-610-006
12-15-09-610-801.12-15-09-610-006,12-15-09-610-801.12-15-09-610-006.a
12-15-09-610-801.12-15-09-610-006.a,12-15-09-610-801.12-15-09-610-006.b
12-15-09-610-801.12-15-09-610-006.b,12-15-09-610-801.12-15-09-610-006.c
12-15-09-610-801.12-15-09-610-006.c,12-15-09-610-802.12-15-09-480-003
12-15-09-610-801.12-15-09-610-006.c,12-15-09-610-801.12-15-09-010-003
12-15-09-610-802.12-15-09-480-003,12-15-09-610-802.12-15-09-010-004
12-15-09-610-802.12-15-09-010-004,12-15-09-610-802.12-15-09-610-002
12-15-09-610-802.12-15-09-610-002,12-15-09-610-802.12-15-09-610-002.a
12-15-09-610-802.12-15-09-610-002.a,12-15-09-610-802.12-15-09-610-002.b
12-15-09-610-802.12-15-09-610-002.b,12-15-09-610-802.12-15-09-610-002.c
12-15-09-610-802.12-15-09-610-002.c,12-15-09-610-802.12-15-09-610-002.d
12-15-09-610-802.12-15-09-610-002.d,12-15-09-610-802.12-15-09-610-002.e
12-15-09-610-802.12-15-09-610-002.e,12-15-09-610-802.12-15-09-610-004
12-15-09-610-802.12-15-09-610-004,12-15-09-610-802.12-15-09-610-005
12-15-09-610-802.12-15-09-610-005,12-15-09-610-802.12-15-09-790-001
12-15-09-610-802.12-15-09-790-001,12-15-09-610-802.12-15-09-790-001.a
12-15-09-610-802.12-15-09-790-001.a,12-15-09-610-802.12-15-09-860-007
12-15-09-610-802.12-15-09-860-007,12-15-09-610-802.12-15-09-860-008
12-15-09-610-802.12-15-09-860-008,12-15-09-610-802.12-15-09-010-005
12-15-09-610-802.12-15-09-010-005,12-15-09-610-802.12-15-09-410-001
12-15-09-610-802.12-15-09-410-001,12-15-09-610-801.12-15-09-010-003
12-15-09-610-801.12-15-09-010-003,12-12-01-610-801.12-12-01-860-004.b
12-15-09-610-801.12-15-09-010-003,12-12-01-610-803.12-12-01-860-025.b
12-12-01-610-801.12-12-01-860-004.b,12-15-04-610-801.12-15-04-860-001
12-15-04-610-801.12-15-04-860-001,12-15-04-610-801.12-15-04-480-001
12-15-04-610-801.12-15-04-480-001,12-15-04-610-801.12-15-04-010-001
12-15-04-610-801.12-15-04-010-001,12-15-04-610-801.12-15-04-860-002
12-15-04-610-801.12-15-04-860-002,12-15-04-610-801.12-15-04-480-002
12-15-04-610-801.12-15-04-480-002,12-15-04-610-801.12-15-04-860-003
12-15-04-610-801.12-15-04-860-003,12-15-04-610-801.12-15-04-860-005
12-15-04-610-801.12-15-04-860-005,12-15-04-610-801.12-15-04-860-004
12-15-04-610-801.12-15-04-860-004,12-15-04-610-801.12-15-04-610-001
12-15-04-610-801.12-15-04-610-001,12-15-04-610-801.12-15-04-610-001.a
12-15-04-610-801.12-15-04-610-001.a,12-15-04-610-801.12-15-04-610-001.b
12-15-04-610-801.12-15-04-610-001.b,12-15-04-610-801.12-15-04-610-001.c
12-15-04-610-801.12-15-04-610-001.c,12-15-04-610-801.12-15-04-860-008
12-15-04-610-801.12-15-04-610-001.c,12-15-04-610-802.12-15-04-480-003
12-15-04-610-801.12-15-04-860-008,12-15-04-610-801.12-15-04-860-008.a
12-15-04-610-801.12-15-04-860-008.a,32-00-30-080-801.32-00-30-860-003
32-00-30-080-801.32-00-30-860-003,32-00-30-080-801.32-00-30-860-003.a
32-00-30-080-801.32-00-30-860-003.a,32-00-30-080-801.32-00-30-860-003.b
32-00-30-080-801.32-00-30-860-003.b,32-00-30-080-801.32-00-30-080-001
32-00-30-080-801.32-00-30-080-001,32-00-30-080-801.32-00-30-080-001.a
32-00-30-080-801.32-00-30-080-001.a,32-00-30-080-801.32-00-30-080-002
32-00-30-080-801.32-00-30-080-002,32-00-30-080-801.32-00-30-080-002.a
32-00-30-080-801.32-00-30-080-002.a,32-00-30-080-801.32-00-30-080-002.b
32-00-30-080-801.32-00-30-080-002.b,32-00-30-080-801.32-00-30-080-002.c
32-00-30-080-801.32-00-30-080-002.c,32-00-30-080-801.32-00-30-080-002.d
32-00-30-080-801.32-00-30-080-002.d,10-11-01-580-804.10-11-01-630-003
32-00-30-080-801.32-00-30-080-002.d,32-51-05-400-801.32-51-05-720-001.e
32-00-30-080-801.32-00-30-080-002.d,32-30-01-720-803.32-30-01-860-006
32-00-30-080-801.32-00-30-080-002.d,08-21-00-580-801.08-21-00-580-004
32-00-30-080-801.32-00-30-080-002.d,05-51-29-200-801.05-51-29-200-005.l
32-00-30-080-801.32-00-30-080-002.d,09-11-00-580-801.09-11-00-860-005
